team,year,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
CHI,1983,3305,6972,1871,2508,1141,2300,3441,2095,2196,687,1578,454,20,0,8501,3502,7082,1885,2471,1125,2388,3513,2235,2110,786,1513,514,37,0,8926,103.16615,27,55
CLE,1983,3362,7232,1619,2178,1213,2388,3601,1930,2206,630,1332,375,43,0,8386,3373,6930,1939,2541,983,2405,3388,2141,1906,579,1224,395,50,0,8735,100.31711,28,54
DAL,1983,3618,7235,1774,2350,1090,2265,3355,2164,1906,579,1303,360,42,0,9052,3633,7282,1688,2198,1180,2346,3526,2131,2213,632,1386,417,63,0,9017,102.3645,43,39
DEN,1983,3935,7983,2200,2690,1133,2444,3577,2482,2279,711,1344,352,77,0,10147,4016,7747,2143,2860,1228,2737,3965,2453,2272,671,1538,545,62,0,10237,112.97668,38,44
DET,1983,3798,7910,1974,2547,1427,2434,3861,2256,2177,697,1310,417,32,0,9602,3657,7369,1941,2577,1163,2457,3620,2193,2187,621,1480,527,53,0,9308,107.17802,49,33
GSW,1983,3519,7534,1915,2577,1390,2171,3561,1837,2108,830,1518,348,55,0,9008,3725,7210,1801,2377,1211,2513,3724,2150,2246,691,1694,494,36,0,9287,105.97652,37,45
HOU,1983,3729,7533,1583,2139,1200,2483,3683,2204,2317,621,1562,515,30,0,9071,3583,7412,2116,2803,1197,2458,3655,2023,1916,782,1421,426,42,0,9324,107.00832,29,53
IND,1983,3447,7130,1624,2119,1002,2398,3400,2169,2061,834,1525,398,48,0,8566,3552,7175,1828,2415,1194,2564,3758,2117,1930,761,1587,444,29,0,8961,104.04976,26,56
KCK,1983,3516,7230,1939,2495,1144,2273,3417,2229,2200,715,1504,383,52,0,9023,3601,7169,1909,2510,1126,2387,3513,2108,2191,660,1584,493,33,0,9144,105.2781,38,44
LAL,1983,3854,7250,1712,2272,1095,2499,3594,2455,2054,726,1578,478,58,0,9478,3672,7600,1763,2346,1253,2154,3407,2261,1973,797,1443,376,63,0,9170,106.09836,54,28
MIL,1983,3432,6970,1743,2354,1135,2385,3520,2113,2167,642,1415,489,59,0,8666,3207,7033,1869,2489,1252,2235,3487,1959,2093,653,1404,319,42,0,8325,100.12105,50,32
NJN,1983,3614,7258,1742,2488,1221,2313,3534,2148,2243,814,1608,499,49,0,9019,3422,6974,2037,2675,1097,2307,3404,1913,2161,781,1674,416,48,0,8929,105.57134,45,37
NYK,1983,3386,6837,1944,2510,1088,2230,3318,2041,2281,803,1587,360,47,0,8763,3260,6687,1876,2474,1045,2171,3216,2049,2197,721,1683,397,52,0,8448,101.8619,47,35
PHI,1983,3384,6833,2041,2706,1181,2382,3563,2032,2040,807,1628,653,29,0,8838,3427,7136,1757,2367,1235,2237,3472,2062,2237,805,1559,483,47,0,8658,102.57603,52,30
PHO,1983,3677,7220,1673,2204,1066,2298,3364,2214,2147,693,1451,388,74,0,9101,3509,7061,1956,2540,1065,2333,3398,2059,2038,675,1480,298,54,0,9028,103.76207,41,41
POR,1983,3632,7189,1988,2637,1251,2194,3445,2082,2134,814,1483,397,25,0,9277,3566,6943,1797,2366,1059,2185,3244,2119,2184,649,1633,440,57,0,8986,103.58656,48,34
SAS,1983,3909,7721,1965,2604,1230,2528,3758,2361,2146,685,1447,491,79,0,9862,3996,7910,1840,2427,1293,2455,3748,2518,2187,652,1427,464,52,0,9884,109.97074,37,45
SDC,1983,3634,7325,1785,2424,1307,2382,3689,1981,2020,567,1515,385,24,0,9077,3771,7406,1749,2233,1112,2163,3275,2370,2043,727,1242,458,53,0,9344,103.45819,30,52
SEA,1983,3460,7083,1918,2460,1064,2332,3396,2233,1884,636,1360,350,27,0,8865,3585,7337,1655,2168,1167,2404,3571,2278,2097,663,1330,388,54,0,8879,102.23275,42,40
UTA,1983,3606,7242,2115,2708,1096,2522,3618,2230,1978,695,1510,604,101,0,9428,3745,7872,1799,2414,1458,2461,3919,2237,2194,747,1438,466,46,0,9335,107.34798,45,37
WA1,1983,3344,6907,1664,2201,1027,2387,3414,2192,1989,556,1448,320,71,0,8423,3465,7086,1693,2218,1037,2381,3418,2038,2021,706,1277,492,37,0,8660,100.31711,35,47
ATL,1984,3444,7119,1782,2371,1161,2345,3506,2009,2047,665,1475,541,73,0,8743,3504,7267,1808,2384,1332,2411,3743,2087,1972,674,1488,373,46,0,8862,102.43147,34,48
BOS,1984,3721,7325,1860,2307,1116,2630,3746,2287,1781,645,1332,414,110,0,9412,3642,7642,1512,1922,1105,2287,3392,2041,1964,641,1222,315,71,0,8867,103.71614,63,19
CHI,1984,3453,6909,1981,2526,1074,2366,3440,1992,2071,622,1463,468,29,0,8916,3521,7210,1852,2394,1137,2260,3397,2045,2040,668,1323,447,91,0,8985,101.89115,38,44
CLE,1984,3470,7364,1867,2491,1203,2445,3648,2096,2173,622,1387,472,96,0,8903,3547,7415,1965,2554,1210,2451,3661,2215,2101,612,1357,429,70,0,9129,104.73779,36,46
DAL,1984,3560,7280,1844,2324,1095,2345,3440,2152,1796,575,1184,335,152,0,9116,3626,7200,1588,2080,1062,2470,3532,2113,2066,572,1340,430,98,0,8938,101.44367,44,38
